generation;individual;train_accuracy;test_accuracy
1;13;0.8687666666666667;0.8688
1;14;0.8621666666666666;0.8671
1;15;0.8712333333333333;0.8702
1;16;0.8675;0.8656
1;17;0.8536333333333334;0.8537
1;18;0.8615333333333334;0.8551
1;19;0.8624666666666667;0.8619
1;20;0.8683666666666666;0.8666
1;21;0.87035;0.8712
1;22;0.8622333333333333;0.8637
1;23;0.8620666666666666;0.8585
1;24;0.8522;0.8536
1;25;0.8545333333333334;0.8508
1;26;0.8654333333333334;0.8646
1;27;0.8622333333333333;0.8606
1;28;0.8573666666666667;0.8584
1;29;0.8561333333333333;0.8562
1;30;0.8541166666666666;0.8523
1;31;0.8324666666666667;0.8288
1;32;0.8631666666666666;0.8633
1;33;0.8690666666666667;0.8696
1;34;0.8612833333333333;0.8587
1;35;0.85585;0.855
1;36;0.8602833333333333;0.8573
1;37;0.8481166666666666;0.8467
1;38;0.8553333333333333;0.8525
1;39;0.8717166666666667;0.8665
1;40;0.86705;0.8688
1;41;0.8583;0.8568
1;42;0.8534666666666667;0.8551
1;43;0.85655;0.8587
1;44;0.8458;0.843
1;45;0.8482833333333333;0.8502
1;46;0.8664166666666666;0.8718
1;47;0.8505166666666667;0.8524
1;48;0.8768;0.8796
1;49;0.8605;0.8614
1;50;0.8581166666666666;0.8556
1;51;0.87405;0.8755
1;52;0.8579;0.8561
1;53;0.8551833333333333;0.8556
1;54;0.8692833333333333;0.8717
1;55;0.8559;0.8572
1;56;0.86055;0.8546
1;57;0.8523833333333334;0.8445
1;58;0.8509333333333333;0.8484
1;59;0.854;0.8534
1;60;0.8679666666666667;0.8658
1;61;0.86095;0.862
1;62;0.8483333333333334;0.8468
1;63;0.8508166666666667;0.8449
1;64;0.8622333333333333;0.8642
1;65;0.8557333333333333;0.8562
1;66;0.8629166666666667;0.8595
1;67;0.8550333333333333;0.8578
1;68;0.8544;0.8537
1;69;0.8510833333333333;0.8536
1;70;0.8609166666666667;0.8658
1;71;0.86415;0.8569
1;72;0.8718833333333333;0.8648
1;73;0.8856833333333334;0.8861
1;74;0.8475666666666667;0.8453
1;75;0.8706166666666667;0.8666
1;76;0.8632166666666666;0.8671
1;77;0.8781;0.8797
1;78;0.8652666666666666;0.8595
1;79;0.8765;0.8766
1;80;0.8567;0.8586
1;81;0.8675666666666667;0.8692
1;82;0.8590666666666666;0.8556
1;83;0.8543666666666667;0.8573
1;84;0.8655666666666667;0.8639
1;85;0.8576333333333334;0.8613
1;86;0.8465;0.8445
1;87;0.8482666666666666;0.8487
1;88;0.8583;0.8587
1;89;0.8558;0.8573
1;90;0.8621;0.8636
1;91;0.8700833333333333;0.872
1;92;0.8581833333333333;0.8549
1;93;0.8573666666666667;0.8586
1;94;0.8605166666666667;0.8593
1;95;0.8713333333333333;0.8737
1;96;0.8622833333333333;0.8602
1;97;0.8585833333333334;0.8578
1;98;0.8625;0.8632
1;99;0.8489166666666667;0.8549
1;100;0.8759666666666667;0.8719
1;101;0.8539166666666667;0.8476
1;102;0.86205;0.8587
1;103;0.8597333333333333;0.8609
